Kilo-Sec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
0	0.021713	0.002834
0.022032	0.01963	0.002839
0.043978	0.017914	0.002834
0.06601	0.018262	0.002828
0.088042	0.020316	0.002831
0.109987	0.01927	0.002827
0.132019	0.018297	0.002834
0.153965	0.007761	0.00283
0.175997	0.011967	0.002838
0.198029	0.0136	0.002839
0.219974	0.001551	0.002832
0.242006	0.011164	0.002838
0.264038	0.015581	0.002828
0.285984	0.015294	0.002829
0.308016	0.01719	0.002828
0.330048	0.021324	0.00283
0.351994	0.020478	0.002826
0.374026	0.010328	0.002823
0.395971	0.012534	0.002834
0.418003	0.014211	0.002827
0.440035	0.013891	0.002829
0.461981	0.013085	0.002829
0.484013	0.007775	0.002828
0.505958	0.005749	0.002829
0.52799	0.004765	0.002831
0.550022	0.003538	0.002826
0.571968	0.000488	0.002832
0.594	-0.000005	0.002823
0.616032	-0.001357	0.00282
0.637978	-0.001486	0.002824
0.66001	0.00147	0.00282
0.681955	0.005542	0.002818
0.703987	0.004944	0.002831
0.726019	0.001071	0.002818
0.747965	-0.001594	0.00282
0.769997	0.001614	0.002815
0.791942	-0.00334	0.002821
0.813974	-0.004473	0.002819
0.836006	-0.005251	0.002817
0.857952	0.000121	0.002818
0.879984	-0.004461	0.00282
0.902016	-0.007062	0.002821
0.923962	-0.010362	0.002816
0.945994	-0.011194	0.002817
0.967939	-0.013461	0.002815
0.989971	-0.01284	0.002818
1.012003	-0.00377	0.002823
1.033949	-0.002101	0.002816
1.055981	-0.0027	0.002816
1.078013	-0.006539	0.002817
1.099958	0.003124	0.002819
1.12199	0.002188	0.002814
1.143936	-0.000676	0.002812
1.165968	-0.005967	0.002815
1.188	0.001759	0.002818
1.209946	-0.001731	0.002817
1.231978	0.002322	0.00282
1.253923	-0.003483	0.002816
1.275955	-0.001552	0.00282
1.297987	-0.011316	0.002823
1.319933	-0.006704	0.002815
1.341965	-0.013837	0.002816
1.36391	-0.014675	0.002811
1.385942	-0.00855	0.002818
1.407974	-0.002948	0.002819
1.42992	-0.005163	0.002816
1.451952	-0.009208	0.002811
1.473984	-0.004632	0.002807
1.49593	-0.003323	0.002805
1.517962	0.003458	0.002814
1.539994	-0.000782	0.002811
1.561939	0.001626	0.002808
1.583971	0.001222	0.002814
1.605917	-0.007511	0.002814
1.627949	-0.005137	0.002811
1.649981	-0.003208	0.002811
1.671926	-0.009998	0.002811
1.693958	-0.016994	0.002814
1.71599	-0.013568	0.00281
1.737936	-0.016281	0.002812
1.759968	-0.012301	0.002809
1.781914	-0.010743	0.00281
1.803946	-0.00773	0.002808
1.825978	-0.006308	0.002808
1.847923	-0.001432	0.002804
1.869955	-0.004284	0.002806
1.891901	0.000712	0.00281
1.918944	0.000088	0.002805
1.94089	-0.005809	0.002803
1.962922	-0.001718	0.002805
1.984954	0.003068	0.002806
2.006899	-0.01071	0.002799
2.028931	-0.006177	0.002802
2.050963	-0.007126	0.002803
2.072909	-0.009577	0.002804
2.094941	-0.012426	0.002808
2.116886	-0.012996	0.002812
2.138918	-0.015838	0.002808
2.16095	-0.012177	0.002808
2.182896	-0.011543	0.002802
2.204928	-0.004134	0.002803
2.22696	-0.003076	0.002799
2.248906	-0.000781	0.002801
2.270938	-0.004649	0.0028
2.292883	0.006559	0.002806
2.314915	-0.006823	0.0028
2.336947	-0.006538	0.002797
2.358893	-0.005215	0.002799
2.380925	-0.003605	0.002804
2.402957	-0.010853	0.002799
2.424902	-0.005946	0.002799
2.446934	-0.010258	0.002803
2.46888	-0.012252	0.002803
2.490912	-0.013323	0.002801
2.512944	-0.022672	0.002801
2.53489	-0.015557	0.0028
2.556922	-0.010324	0.002802
2.578954	-0.003913	0.002804
2.600899	-0.01067	0.002798
2.622931	0.002702	0.002808
2.644877	0.00195	0.002802
2.666909	0.002133	0.002802
2.688941	0.00709	0.002801
2.710886	0.001777	0.002796
2.732918	-0.003506	0.002798
2.754864	0.003565	0.002803
2.776896	0.001715	0.002798
2.798928	0.003987	0.0028
2.820874	-0.00274	0.002802
2.842906	-0.003218	0.002801
2.864938	-0.002965	0.002802
2.886883	-0.000828	0.002803
2.908915	-0.014779	0.0028
2.930861	-0.003868	0.002798
2.952893	0.005476	0.002796
2.974925	0.000681	0.002797
2.99687	-0.003189	0.002788
3.018902	0.00441	0.002795
3.040848	0.008046	0.002796
3.06288	0.006657	0.002796
3.084912	0.000484	0.002796
3.106858	0.003915	0.002793
3.12889	0.005813	0.002797
3.150835	0.010266	0.002795
3.172867	0.003615	0.002796
3.194899	-0.002892	0.00279
3.216845	0.001224	0.002795
3.238877	0.000898	0.0028
3.260909	-0.010163	0.002801
3.282854	0.00105	0.002802
3.304886	-0.001625	0.002801
3.326918	0.005215	0.002799
3.348864	0.007904	0.002799
3.370896	0.004721	0.002792
3.392842	0.009127	0.002797
3.414874	0.002657	0.002798
3.436906	0.002898	0.002796
3.458851	0.006285	0.002798
3.480883	0.010307	0.002794
3.502915	0.004141	0.002797
3.524861	0.005162	0.002795
3.546893	0.001897	0.002796
3.568838	0.00257	0.002797
3.59087	0.003777	0.002796
3.612902	0.0003	0.002799
3.634848	-0.005894	0.002799
3.65688	-0.012004	0.002798
3.678912	-0.005487	0.002801
3.700858	-0.010962	0.002792
3.72289	0.003315	0.002794
3.744835	-0.002638	0.002795
3.766867	0.000953	0.002788
3.788899	0.004676	0.002796
3.810845	0.004214	0.002797
3.832877	0.001521	0.002791
3.854822	0.005471	0.002788
3.876854	0.004653	0.002785
3.898886	0.000485	0.002793
3.920832	-0.00075	0.002796
3.942864	-0.004923	0.002794
3.96481	-0.008862	0.00279
3.986842	-0.009326	0.002792
4.008874	-0.008761	0.002797
4.030819	-0.009972	0.0028
4.052851	-0.008371	0.002795
4.074883	-0.010305	0.002796
4.096829	-0.009935	0.002793
4.118861	-0.00717	0.002792
4.140806	-0.000949	0.002794
4.162838	0.000224	0.002791
4.18487	0.002177	0.002788
4.206816	-0.000689	0.002795
4.228848	-0.003734	0.002788
4.25088	0.001771	0.002788
4.272826	-0.00476	0.002792
4.294858	-0.005447	0.002788
4.316803	-0.00074	0.002787
4.338835	-0.0061	0.002791
4.360867	-0.005686	0.002795
4.382813	-0.004546	0.002794
4.404845	-0.012155	0.002795
4.42679	-0.015358	0.00279
4.449859	-0.009906	0.002797
4.471805	-0.00529	0.002792
4.493837	-0.002723	0.002793
4.515782	0.003631	0.002794
4.537814	0.00028	0.002793
4.559846	0.002899	0.002791
4.581792	0.000426	0.002784
4.603824	0.000331	0.002787
4.625856	0.004171	0.002788
4.647802	-0.001444	0.002787
4.669834	0.000718	0.002795
4.691866	0.002924	0.002787
4.713811	0.000518	0.002789
4.735843	-0.002572	0.002791
4.757789	0.000511	0.002793
4.779821	-0.005546	0.002795
4.801853	-0.007536	0.002801
4.823798	-0.011103	0.002794
4.84583	-0.006467	0.002797
4.867776	-0.005738	0.002793
4.889808	-0.004765	0.002793
4.91184	0.000923	0.002789
4.933786	0.001905	0.002786
4.955818	0.00645	0.002787
4.97785	0.008878	0.002789
4.999795	0.007088	0.002789
5.021827	0.008299	0.002793
5.043773	0.001812	0.00279
5.065805	0.005508	0.002791
5.087837	-0.001503	0.002788
5.109782	-0.0021	0.002785
5.131814	-0.012548	0.002787
5.15376	-0.001661	0.002788
5.175792	-0.003662	0.00279
5.197824	-0.008873	0.002792
5.21977	-0.001399	0.002795
5.241802	-0.003422	0.002791
5.263834	-0.002278	0.002788
5.285779	-0.002465	0.002788
5.307811	0.004906	0.002788
5.329757	0.002454	0.002781
5.352826	0.000291	0.002784
5.374771	0.000646	0.002788
5.396803	-0.001671	0.002787
5.418749	-0.008328	0.002813
5.440781	-0.009834	0.002813
5.462813	-0.005563	0.002821
5.484758	-0.009137	0.002814
5.50679	-0.016171	0.002794
5.528822	-0.018432	0.002828
5.550768	-0.015011	0.002825
5.5728	-0.018925	0.002817
5.594746	-0.026384	0.002816
5.616778	-0.022454	0.002831
5.63881	-0.013907	0.002824
5.660755	-0.014053	0.002811
5.682787	-0.012899	0.00281
5.704819	-0.011631	0.002818
5.726765	-0.006382	0.002812
5.748797	-0.010037	0.002809
5.770829	-0.00988	0.0028
5.792774	-0.006589	0.002804
5.814806	-0.005294	0.002813
5.836752	-0.013765	0.002811
5.858784	-0.019188	0.00281
5.88073	-0.009884	0.002827
5.902762	-0.013241	0.002818
5.924794	-0.016591	0.002815
5.946739	-0.020772	0.002821
5.968771	-0.023416	0.002821
5.990803	-0.017267	0.002816
6.012749	-0.017365	0.002802
6.034781	-0.014643	0.002821
6.056726	-0.007026	0.002811
6.078758	-0.009837	0.002809
6.10079	-0.011337	0.002812
6.122736	-0.013677	0.002817
6.144768	-0.008911	0.002815
6.1668	-0.008794	0.002813
6.188746	-0.01619	0.002803
6.210778	-0.010804	0.002814
6.232723	-0.010397	0.00282
6.254755	-0.014113	0.002811
6.276787	-0.018672	0.002812
