kSec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
7.257513602	0.003714578	0.001739433
7.281532784	-0.000347953	0.001888355
7.305465585	-0.005106059	0.001968152
7.329484807	0.002740401	0.0019256
7.353503989	-0.000826198	0.001753856
7.37743679	-0.004025205	0.001744741
7.401456012	0.000739916	0.001758451
7.425475194	-0.002504487	0.001720903
7.449494416	-0.001602089	0.001648185
7.473513597	-0.001478367	0.001648001
7.497446398	-0.000962081	0.001647221
7.545484802	0.000675626	0.001644748
7.569503984	-0.000427006	0.001660665
7.617456007	0.000889431	0.001694227
7.641475189	-0.006865512	0.001670546
7.665494411	0.00307919	0.001662429
7.689427212	-0.005526872	0.001661341
7.713446394	-0.006191108	0.001648041
7.737465616	-0.006590291	0.001655813
7.762435184	-0.001542154	0.001683788
7.786454406	-0.002182482	0.00163485
7.810473588	-0.002937569	0.001643128
7.83449281	-0.005461759	0.001618332
7.858425611	-0.002968302	0.001621766
7.882444793	3.29409E-05	0.001617296
7.906464015	-0.008885001	0.001637807
7.930483197	-0.002267403	0.001635
7.954415998	-0.000308849	0.001624938
7.97843518	-0.006055812	0.001662196
8.002454402	-0.001559707	0.001619687
8.026473583	-0.007047749	0.001613561
8.050406384	-0.00077648	0.001611403
8.074425606	-0.000160397	0.001610494
8.098444788	-0.000364604	0.0016108
8.12246401	-0.000654452	0.00160411
8.146396811	-0.010384146	0.001611354
8.170415993	0.001781043	0.001600526
8.194435215	-0.000717831	0.001604215
8.218454397	-0.002807755	0.001600169
8.242387198	-0.000598305	0.001604047
8.26640638	0.003470497	0.001605152
8.290425602	-0.003414627	0.00161536
8.314444783	0.00127031	0.001608414
8.338377585	-0.004504114	0.00160269
8.362396806	-0.006178135	0.001605165
8.386415988	0.00031664	0.001609839
8.41043521	0.007941437	0.001605653
8.434368011	-0.003920387	0.001601845
8.458387193	-0.000459421	0.001611001
8.482406415	0.002079986	0.001607245
8.506425597	0.001669944	0.001600746
8.530358398	0.00400552	0.001604407
8.55437758	0.001504734	0.001600998
8.602415983	-0.0018272	0.001605924
8.626348785	0.002445761	0.001606729
8.69840641	-0.002358591	0.001606726
8.770377615	-0.00065028	0.001604215
8.794396797	0.001790157	0.001607729
8.818415979	0.005325583	0.001602511
8.84234878	-0.000641345	0.001604215
8.866368002	-0.00218062	0.001613629
8.914406405	-0.000225668	0.001603615
8.938339207	0.003465707	0.001605278
8.963395196	0.001775803	0.001607782
8.987327997	0.001180682	0.001601554
9.011347179	-0.006199625	0.001612474
9.083318384	6.70242E-05	0.001610335
9.107337606	-0.003536812	0.00161569
9.203327993	-0.005385886	0.001611305
9.323337601	-0.007184439	0.001613998
9.347356783	-0.001689056	0.00160586
9.395308806	-0.001946781	0.001606251
9.467366391	-0.0003805	0.001611075
9.659260784	-0.000495992	0.001618411
9.707299188	0.001748995	0.001607971
9.73131841	-0.004939712	0.001617906
9.779270393	0.00386505	0.001611954
9.827308796	0.001139848	0.001616013
9.875260779	0.001275226	0.001615822
9.972288014	0.007080008	0.001614309
9.996307196	-0.003232176	0.001615424
10.02032642	-0.005950134	0.001619475
10.09229758	-0.003188781	0.001615381
10.14024961	-0.005458345	0.001625928
10.18828801	0.002860912	0.001627743
10.21230719	-0.002276188	0.00162119
10.23623999	2.657E-05	0.001624884
10.26025921	0.000472495	0.001624223
10.28522878	0.000283999	0.001624511
10.35728641	-0.001209918	0.001619634
10.62123839	-0.005078745	0.001625477
10.741248	-0.000938267	0.001626454
10.76526722	0.000157619	0.001631942
10.78920002	-0.002158472	0.001628294
10.8132192	9.13254E-06	0.001625055
10.8851904	-0.002920792	0.001629462
11.21869441	-0.004649017	0.002168503
11.23968959	-0.004243928	0.002167703
11.26068481	-0.002758558	0.002157613
11.28167999	-0.000596937	0.002181826
11.30267521	-0.00089986	0.002175317
11.32367038	-0.003941442	0.002174277
11.3446656	0.000855967	0.002171822
11.36566078	-0.000923387	0.002196764
11.386656	0.001640784	0.002177379
11.40765118	-0.001436515	0.002176433
11.4286464	-0.002261306	0.002185227
11.44964162	0.002030572	0.002190835
11.4706368	0.004850698	0.002170991
11.4917184	0.001796768	0.002177108
11.51271362	0.003530183	0.002180743
11.53370879	-0.002540763	0.002178695
11.55470401	0.001403328	0.002170811
11.57569919	0.005546136	0.002176727
11.59669441	0.000563645	0.002179622
11.61768959	-0.003367907	0.002173246
11.63868481	0.000778928	0.002179207
11.65967999	-0.007043771	0.002187792
11.68067521	0.003919654	0.002187124
11.70167039	0.004314854	0.002193429
11.7226656	-0.010648526	0.002180707
11.74366078	0.001470438	0.002184974
11.764656	-0.00373846	0.002188336
11.78565118	-0.00405626	0.002174692
11.8066464	-0.006905584	0.00218041
11.82764158	-0.00464194	0.002183032
11.8486368	0.006297869	0.002182414
11.86963202	-0.005256556	0.002184285
11.8906272	0.008581227	0.002163723
11.91162242	-0.010760034	0.002188201
11.93261759	0.001766827	0.002184459
11.97469441	-0.005406089	0.002177476
11.99560321	-0.008805417	0.002191484
12.01659839	0.000937089	0.002186164
12.03767999	-0.001020351	0.002182987
12.05867521	0.004248761	0.002179531
12.07967039	0.012564624	0.002177004
12.10066561	-0.002993521	0.002194122
12.142656	0.000579912	0.002201171
12.16365118	-0.005493518	0.002192047
12.1846464	0.003395214	0.0021813
12.20564158	0.000166127	0.00218068
12.2266368	-0.002135709	0.002199582
12.24763198	-0.006665547	0.002187286
12.2686272	0.005276098	0.002191738
12.28962242	-0.002743462	0.002193703
12.3106176	-0.006830608	0.002201978
12.33161281	0.001642065	0.002199108
12.35260799	0.006331566	0.00218257
12.37360321	0.001943855	0.002184301
12.39459839	-0.001782533	0.002198946
12.41559361	-0.003773369	0.002181551
12.43658879	0.001224785	0.002185777
12.45758401	0.004069682	0.002187167
12.47857919	-0.001519782	0.002291148
12.49957441	0.004804465	0.002199887
12.52056959	0.009176502	0.002198126
12.5415648	-0.010415381	0.002216553
12.56255998	-0.003989022	0.002196348
12.58364158	0.003132666	0.002196214
12.6046368	-0.004523263	0.002383348
12.62563198	0.003669229	0.002209345
12.6466272	0.002301024	0.002261877
12.66762238	0.008270764	0.002221232
12.6886176	-0.003571632	0.002202712
12.70961282	-0.016218091	0.002221275
12.730608	-0.002888495	0.002208489
12.75160321	0.006193508	0.002204282
12.77259839	0.001099746	0.002207534
12.79359361	0.001682261	0.002199252
12.81458879	-0.003740637	0.002245991
12.83558401	-0.009046871	0.002213911
12.85657919	-0.004224148	0.002211269
12.87757441	-0.000671496	0.002211189
12.89856959	0.024871333	0.002215519
12.91956481	0.003067167	0.00221782
12.94055998	0.009097041	0.002339729
12.9615552	0.001632587	0.00220655
13.0035456	0.005697292	0.002212504
13.02454078	0.010709941	0.002209386
13.045536	0.010658944	0.002209501
13.0875264	0.001815321	0.002206246
13.1295168	-0.001048303	0.00221209
13.30257601	-0.013971528	0.002260289
13.49153282	0.007774401	0.002215623
13.53352321	0.013130276	0.002204756
13.57551361	0.007855413	0.002222578
13.59650879	0.010246755	0.002217706
13.61750401	0.008030674	0.002208105
13.65949441	-0.009036582	0.002221533
13.68048959	0.007113778	0.002224159
13.70148481	0.005004997	0.002214312
13.7434752	0.002998089	0.002225533
13.7854656	0.005854131	0.002219718
