ksec_since_BJD2459546.66221244_B	rel_flux_T1_d(mag)	_d(mag)
9.730918000	-0.010421960	0.001052778
9.767918000	-0.009475796	0.001051862
9.804916000	-0.005562557	0.001048080
9.841916000	-0.006653760	0.001049134
9.878922000	-0.006321071	0.001048814
9.915923000	-0.008431783	0.001050854
9.952912000	-0.010621869	0.001052976
9.989914000	-0.010825486	0.001053174
10.026923000	-0.008472739	0.001050896
10.063914000	-0.008010893	0.001050450
10.100918000	-0.006028156	0.001048535
10.137916000	-0.007966830	0.001050408
10.174919000	-0.000315171	0.001043036
10.211920000	-0.008770306	0.001051187
10.248916000	-0.009285027	0.001051685
10.285917000	-0.009875207	0.001052257
10.322911000	-0.012326792	0.001054635
10.359919000	-0.016122880	0.001047534
10.396914000	-0.014707968	0.001046171
10.433922000	-0.012723916	0.001044262
10.470910000	-0.002731282	0.001045362
10.507918000	-0.005830226	0.001048349
10.544909000	-0.003958518	0.001046544
10.581904000	-0.006097113	0.001037912
10.618912000	-0.004492188	0.001047059
10.655916000	-0.000629185	0.001043343
10.692912000	-0.010494236	0.001042123
10.729917000	-0.009054598	0.001040743
10.766909000	-0.009075816	0.001040764
10.803911000	-0.005699421	0.001048225
10.840920000	-0.004415810	0.001046987
10.877916000	-0.003325917	0.001045937
10.914909000	-0.003678174	0.001046277
10.951903000	0.001617720	0.001041188
10.988917000	-0.003090563	0.001045711
11.025903000	0.000554507	0.001042208
11.062912000	0.003009637	0.001039855
11.099908000	0.000671716	0.001042096
11.136910000	-0.002108494	0.001044767
11.173906000	-0.002588530	0.001045228
11.210912000	0.000171698	0.001042576
11.247906000	-0.002705890	0.001045341
11.284904000	-0.004842385	0.001047399
11.321897000	-0.000967816	0.001043670
11.358909000	0.000097089	0.001042647
11.395912000	-0.003934031	0.001046524
11.432900000	-0.003538887	0.001046143
11.469911000	-0.003389489	0.001045999
11.506908000	-0.007315758	0.001049786
11.543904000	-0.003154866	0.001045773
11.580907000	-0.006223463	0.001048731
11.617899000	-0.004073771	0.001046658
11.654910000	0.000149188	0.001042596
11.691917000	-0.000425958	0.001043148
11.728904000	-0.000873573	0.001043578
11.765900000	-0.000543617	0.001043261
11.802902000	-0.000448050	0.001043169
11.839908000	0.000211729	0.001053168
11.876905000	-0.002089966	0.001044746
11.913898000	-0.008261981	0.001050699
