Kilo_Seconds_B	rel_flux_T1(mag)	rel_flux_err_T1(mag)
6.593702	-0.004943	0.001628
6.625757	-0.002576	0.001631
6.657725	-0.003332	0.001632
6.689779	-0.006921	0.001633
6.721747	-0.007827	0.001633
6.753715	-0.000293	0.001631
6.78577	-0.004382	0.001632
6.817738	-0.00719	0.001639
6.849706	-0.011044	0.001638
6.88176	-0.006323	0.001632
6.913728	-0.008066	0.001632
6.945696	-0.002198	0.001634
6.97775	0.001718	0.001632
7.009718	-0.003129	0.001633
7.041773	0.000722	0.001624
7.073741	-0.007169	0.001628
7.105709	-0.003545	0.001631
7.137763	-0.004872	0.001631
7.169731	-0.008066	0.001626
7.201699	-0.012706	0.001631
7.233754	-0.009564	0.00163
7.265722	-0.001842	0.001626
7.29769	-0.004283	0.001629
7.329744	0.002097	0.00163
7.361712	0.004154	0.001633
7.39368	0.0001	0.001633
7.425734	-0.000876	0.001639
7.457702	-0.004939	0.001641
7.48967	0.000112	0.001653
7.521725	-0.006977	0.00164
7.553693	-0.008654	0.001641
7.585661	-0.011553	0.001642
7.617715	-0.007908	0.001647
7.649683	-0.000122	0.001646
7.681738	-0.001461	0.001643
7.713706	-0.004144	0.001644
7.745674	-0.000494	0.001647
7.777728	-0.001409	0.001638
7.809696	-0.002486	0.001636
7.841664	-0.001278	0.001635
7.873718	-0.002003	0.001644
7.905686	-0.003607	0.001647
7.937654	-0.00253	0.001643
7.969709	-0.010594	0.001675
8.001677	-0.003949	0.00167
8.033731	-0.007261	0.001679
8.065699	-0.001456	0.00167
8.097667	-0.006207	0.001665
8.129722	0.004434	0.001663
8.16169	-0.001657	0.001674
8.193658	-0.003619	0.001674
8.225712	-0.003781	0.001665
8.25768	-0.005422	0.00168
8.289648	-0.000278	0.001704
8.321702	-0.000726	0.001715
8.35367	-0.009966	0.001713
8.385638	-0.00497	0.001714
8.417693	-0.010081	0.001692
8.449661	-0.00226	0.001707
8.481715	-0.004513	0.001696
8.513683	0.001732	0.001702
8.545651	0.00032	0.00169
8.577706	-0.003343	0.001705
8.609674	-0.001331	0.001708
8.641642	-0.002463	0.001705
8.673696	-0.003963	0.001684
8.705664	-0.005649	0.00173
8.737632	-0.007008	0.001731
8.769686	-0.003402	0.001741
8.801654	-0.005448	0.001722
8.833622	-0.003924	0.001717
8.865677	-0.002039	0.001698
8.897645	0.002284	0.001728
8.929699	-0.002326	0.001729
8.961667	-0.005539	0.001687
8.993635	-0.004266	0.00164
9.02569	-0.001251	0.001638
9.057658	-0.005034	0.001647
9.089626	-0.004416	0.001638
9.12168	-0.00742	0.00164
9.153648	-0.004489	0.001636
9.185616	-0.000941	0.001637
9.21767	-0.004923	0.001635
9.249638	-0.005831	0.001644
9.281606	-0.006789	0.001636
9.313661	-0.001785	0.001641
9.345629	-0.003985	0.001641
9.377683	-0.001589	0.001642
9.409651	-0.004835	0.001639
9.441619	-0.006308	0.001646
9.473674	-0.00631	0.001642
9.505642	-0.005924	0.001657
9.53761	-0.011107	0.001641
9.569664	-0.010047	0.001636
9.601632	-0.005986	0.001638
9.6336	-0.00034	0.00164
9.665654	0.000601	0.001646
9.697622	0.001036	0.001655
9.72959	-0.003679	0.001644
9.761645	0.000857	0.001639
9.793699	-0.000926	0.001655
9.825581	-0.004346	0.001639
9.857635	-0.003338	0.00164
9.889603	-0.006544	0.001639
9.921658	-0.012602	0.001646
9.953626	-0.00415	0.001641
9.985594	-0.004647	0.001636
10.017648	-0.002015	0.001632
10.049616	-0.003597	0.001633
10.081584	0.003256	0.001628
10.113638	0.003306	0.001627
10.145606	0.002336	0.001632
10.177574	0.001035	0.001634
10.209629	-0.001986	0.001628
10.241597	0.001994	0.001629
10.273565	-0.002412	0.001629
10.305619	-0.006734	0.001626
10.337587	-0.007805	0.001628
10.369642	-0.000934	0.001629
10.40161	0.008569	0.00163
10.433578	0.003725	0.001628
10.465632	-0.000883	0.001629
10.4976	0.000894	0.001628
