Kilo-Sec_B	rel_flux_T1_d(mag)	rel_flux_err_T1_d(mag)
5.502643	0.018749	0.000564
5.529686	-0.042016	0.000568
5.556643	-0.037795	0.000566
5.5836	-0.01859	0.000571
5.610643	-0.006605	0.000566
5.6376	-0.002758	0.000563
5.664643	0.061904	0.000574
5.6916	-0.0118	0.000564
5.718643	0.003481	0.000566
5.718643	0.003481	0.000566
5.7456	0.029913	0.000568
5.772643	-0.015808	0.000563
5.7996	-0.000136	0.000563
5.826643	0.013597	0.000569
5.8536	0.001066	0.000566
5.880643	-0.016704	0.000567
5.9076	0.06574	0.000572
5.934643	-0.003673	0.000568
5.9616	-0.010124	0.000566
5.988643	-0.026593	0.000562
6.0156	-0.030115	0.000572
6.042643	-0.009232	0.000566
6.070637	-0.026419	0.000567
6.097594	-0.030538	0.000562
6.124637	-0.00188	0.000562
6.151594	-0.006923	0.000562
6.178637	-0.02678	0.000563
6.205594	0.004606	0.000563
6.23255	-0.016639	0.000568
6.259594	-0.01371	0.000563
6.286637	-0.011557	0.000564
6.313594	0.02504	0.00056
6.341587	-0.003139	0.000564
6.36863	-0.008552	0.000569
6.395587	0.011118	0.000563
6.422544	-0.032971	0.000566
6.449587	-0.029433	0.000565
6.476544	-0.015573	0.00057
6.503587	-0.014081	0.000562
6.530544	-0.046969	0.000563
6.557587	-0.062585	0.000562
6.584544	-0.021558	0.000565
6.611587	-0.000652	0.00057
6.638544	0.036582	0.000561
6.665587	-0.03292	0.00056
6.692544	-0.035514	0.000561
6.719587	-0.024109	0.000565
6.746544	-0.03447	0.000559
6.773587	-0.027957	0.000561
6.800544	0.010862	0.000561
6.827587	-0.010749	0.000568
6.854544	0.016052	0.000559
6.881587	-0.026612	0.00056
6.908544	0.020724	0.000558
6.935587	-0.028145	0.000562
6.962544	0.010147	0.000566
6.989501	0.023905	0.000565
7.016544	0.061093	0.000569
7.043587	0.027876	0.000569
7.070544	-0.009961	0.000558
7.097501	-0.013095	0.000562
7.124544	0.000296	0.000564
7.151501	-0.003812	0.00056
7.178544	-0.029325	0.000563
7.205501	-0.036134	0.000558
7.232544	-0.018721	0.000569
7.259501	-0.007916	0.000564
7.286544	-0.065474	0.000565
7.313501	-0.031678	0.000563
7.340544	0.000404	0.000558
7.367501	-0.046194	0.000565
7.394544	-0.062334	0.000558
7.421501	0.030023	0.000557
7.448544	-0.030702	0.000563
7.475501	-0.042082	0.000561
7.502544	-0.031883	0.000567
7.529501	0.000428	0.000561
7.556544	-0.00949	0.000563
7.583501	-0.067827	0.00056
7.610544	0.070045	0.000561
7.637501	0.075838	0.00057
7.664544	0.001547	0.00057
7.691501	0.000377	0.000562
7.718458	-0.026656	0.000557
7.745501	-0.039344	0.000562
7.772458	-0.021949	0.000562
7.799501	-0.008502	0.000562
7.826458	-0.050294	0.000562
7.853501	-0.027437	0.000558
7.880458	-0.021346	0.000558
7.907501	-0.055028	0.000559
7.934458	-0.064449	0.000561
7.961501	-0.026059	0.000563
7.988458	-0.015171	0.000557
8.015501	-0.081866	0.00056
8.042458	-0.061346	0.000559
8.069501	-0.067866	0.000559
8.096458	-0.071169	0.00056
8.123501	-0.072014	0.000561
8.150458	-0.086023	0.000559
8.177501	-0.043937	0.000556
8.204458	-0.039607	0.000557
8.231501	-0.013226	0.000558
8.258458	-0.068908	0.00056
8.285414	0.00858	0.00056
8.312458	-0.046879	0.000557
8.339414	-0.068071	0.000556
8.366458	-0.024158	0.000557
8.393414	-0.046656	0.000562
8.420458	-0.083162	0.000557
8.447414	-0.057091	0.000563
8.474458	-0.012579	0.000561
8.501414	-0.057984	0.000559
8.528458	-0.064679	0.000559
8.555414	-0.097051	0.000563
8.582458	0.044564	0.000561
8.609414	0.037576	0.000561
8.636458	0.029572	0.000558
8.663414	-0.028708	0.000557
8.690458	-0.016896	0.000561
8.717414	-0.012434	0.000558
8.744458	0.007301	0.000558
8.771414	0.036953	0.000557
8.798458	-0.037044	0.000562
8.825414	-0.005133	0.000561
8.852458	-0.030777	0.000563
8.879414	-0.046218	0.000558
8.906371	-0.014691	0.000554
8.933414	0.004951	0.000561
8.960371	-0.003672	0.000558
8.987414	-0.063774	0.000559
9.014371	-0.031135	0.000562
9.041414	0.020509	0.000561
9.068371	-0.00725	0.000561
9.095414	-0.020836	0.00056
9.122371	-0.023702	0.000555
9.149414	0.014137	0.000558
9.176371	0.014962	0.000563
9.203414	0.047678	0.000563
9.230371	0.05116	0.000561
9.257414	0.058896	0.000565
9.284371	0.052295	0.000562
9.311414	0.045161	0.000555
9.338371	0.061899	0.00057
9.365414	0.052065	0.000561
9.392371	0.079566	0.00056
9.419414	0.055455	0.000565
9.446371	0.037577	0.000562
9.473328	0.06394	0.000563
9.500371	0.037505	0.000563
9.527414	0.032884	0.00056
9.554371	0.071625	0.000572
9.581328	0.070358	0.000563
9.608371	0.056995	0.000558
9.635328	0.035978	0.000554
9.662371	0.037506	0.000562
9.689328	0.032291	0.000562
9.716371	0.021349	0.000559
9.743328	0.027534	0.000558
9.770371	0.036952	0.000557
9.797328	-0.004691	0.000561
9.825322	0.016814	0.000559
9.852365	0.041411	0.000554
9.879322	0.025369	0.000557
9.906365	0.053531	0.000558
9.933322	0.053233	0.000559
9.960365	0.031812	0.000556
9.987322	0.052143	0.000561
10.014365	0.024876	0.000559
10.041322	0.020611	0.000557
10.068365	0.033959	0.000555
10.095322	0.002948	0.000563
10.122365	0.014296	0.000561
10.149322	0.020621	0.000559
10.176365	0.01905	0.000555
10.203322	-0.005401	0.000561
10.230278	0.026418	0.000554
10.257322	0.026498	0.000553
10.284278	0.006771	0.000561
10.311322	-0.000072	0.000557
10.338278	0.030507	0.000554
10.365322	0.030965	0.000555
10.392278	0.033885	0.000556
10.419322	0.008231	0.000554
10.446278	-0.012996	0.000558
10.473322	-0.0007	0.000555
10.500278	0.022558	0.000552
10.527322	-0.011279	0.000553
10.554278	0.015578	0.000559
10.581322	0.047928	0.00056
10.608278	0.009614	0.000558
10.635322	-0.009391	0.000558
10.662278	0.024396	0.000553
10.689322	-0.000527	0.000556
10.716278	0.007602	0.000552
10.743322	0.004961	0.000556
10.770278	-0.038132	0.000555
10.797322	0.019243	0.000556
10.824278	-0.036747	0.000554
10.852272	-0.053879	0.000556
10.879229	-0.04879	0.000555
10.906272	0.030906	0.000556
10.933229	0.046969	0.000555
10.960272	-0.006666	0.000559
10.987229	-0.019745	0.000554
11.014272	-0.001742	0.000556
11.041229	0.038826	0.000558
11.068272	0.076496	0.000556
11.095229	0.063251	0.000558
11.122272	0.041669	0.000556
11.149229	0.034427	0.000559
11.176272	0.0832	0.00056
11.203229	0.068972	0.000558
11.230272	0.039312	0.000555
11.257229	0.066561	0.000555
11.284272	0.047771	0.000555
11.311229	0.03554	0.000555
11.338272	0.043975	0.000554
11.365229	0.062766	0.000553
11.392272	0.038087	0.000553
11.419229	0.062255	0.000554
11.446272	0.066953	0.000559
11.473229	0.071469	0.000556
11.500272	0.073244	0.000559
11.527229	0.020763	0.00055
11.554272	0.026476	0.000551
11.581229	0.067535	0.000553
11.608272	0.037922	0.000552
11.635229	0.070709	0.000557
11.662186	0.058764	0.000553
11.689229	0.011962	0.000556
11.716272	0.074675	0.000551
11.743229	0.075107	0.000555
11.770186	0.070142	0.000557
11.797229	0.079043	0.000557
11.824186	0.004429	0.000553
11.851229	0.035006	0.000552
11.878186	0.062088	0.000555
11.905229	0.01987	0.000553
11.932186	0.046644	0.000554
11.959229	0.043763	0.000555
11.986186	0.063576	0.000554
12.013229	0.005433	0.000554
12.040186	0.046911	0.000557
12.067229	0.047851	0.000557
12.094186	0.035361	0.000554
12.121229	0.028049	0.000553
12.148186	0.017279	0.000553
12.175229	-0.000961	0.000552
12.202186	0.023565	0.000552
12.229142	0.012567	0.000553
12.256186	0.031437	0.000552
12.283142	0.017686	0.00056
12.310186	0.009125	0.000553
12.337142	0.009055	0.000554
12.364186	-0.016675	0.000554
12.391142	0.015295	0.000553
12.418186	-0.002074	0.000554
12.445142	0.010897	0.000551
12.472186	-0.004093	0.000554
12.499142	0.008271	0.000552
12.526186	0.020122	0.000556
12.553142	0.01044	0.000555
12.580186	-0.02311	0.000554
12.607142	-0.023946	0.000556
12.634186	-0.000084	0.000551
12.661142	0.000494	0.000556
12.689136	-0.000133	0.000552
12.716179	-0.031104	0.000554
12.743136	0.01511	0.000552
12.770179	0.004611	0.000552
12.797136	0.022759	0.000552
12.824093	0.041009	0.000551
12.851136	0.002111	0.000551
12.878179	-0.044224	0.000553
12.905136	0.030871	0.000554
12.932179	0.014862	0.000553
12.959136	0.023259	0.000556
12.986179	0.006951	0.000552
13.013136	-0.027247	0.000555
13.040093	0.019937	0.000553
13.067136	-0.002302	0.000554
13.094093	0.015993	0.000554
13.121136	-0.041671	0.000553
